id,command,category,short_definition,description,syntax,example,example_explanation,common_options,related_commands,safety_level,distribution,created_at,updated_at
16,tac,Text Processing,Concatenate and print files in reverse line order,Prints file contents backwards line by line.,tac [OPTION]... [FILE]...,tac /var/log/syslog | head -n 20,Reads log file backwards to display the most recent entries first.,-b (attach separator before)\n-r (regex separator),"cat, rev, tail",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
17,head,Text Processing,Output the first part of files,Prints the first N lines or bytes of specified files.,head [OPTION]... [FILE]...,head -n 50 access.log,Outputs the first 50 lines of access.log.,"-n lines (number of lines)\n-c bytes (number of bytes)\n-q (quiet, suppress headers)","tail, cat, sed",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
18,tail,Text Processing,Output the last part of files,Outputs the final lines of files. Capable of real-time continuous log streaming.,tail [OPTION]... [FILE]...,tail -f -n 100 /var/log/nginx/error.log,Streams newly added lines to error.log continuously in real time.,"-f (follow, output growing data)\n-n lines (output last N lines)\n-F (retry opening file if renamed/deleted)","head, cat, journalctl",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
19,less,Text Processing,Opposite of more - scrollable file viewer,Interactive terminal pager allowing forward and backward file navigation.,less [OPTION] FILE,less +G /var/log/auth.log,Opens auth.log immediately positioned at the bottom of the file.,-N (show line numbers)\n-S (chop long lines)\n-i (ignore case in search),"more, cat, view",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
20,cut,Text Processing,Remove sections from each line of files,"Extracts byte positions, characters, or delimited fields from input lines.",cut OPTION... [FILE]...,"cut -d"","" -f1,3 data.csv",Extracts 1st and 3rd comma-delimited columns from CSV file.,-d delim (field delimiter)\n-f fields (select fields)\n-b bytes (select specific bytes)\n-c chars (select characters),"awk, paste, tr",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
21,awk,Text Processing,Pattern scanning and text processing language,"Powerful scripting tool for line-by-line processing, field manipulation, and structured data generation.",awk [options] 'script' var=value file...,"awk -F"":"" '$3 >= 1000 {print $1, $3}' /etc/passwd",Parses /etc/passwd to list user accounts with UID >= 1000.,-F fs (input field separator)\n-v var=val (assign variable)\n-f file (read program script file),"sed, grep, cut, perl",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
22,sed,Text Processing,Stream editor for filtering and transforming text,Performs basic text transformations on an input stream or file.,sed [OPTION]... {script} [input-file]...,sed -i 's/http/https/g' config.json,In-place replaces all occurrences of http with https in config.json.,-i (edit files in-place)\n-e script (add script to commands)\n-n (suppress automatic printing),"awk, grep, tr",caution,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
23,sort,Text Processing,Sort lines of text files,Sorts lines of text files alphabetically or numerically.,sort [OPTION]... [FILE]...,"sort -nk2,2 -t"","" scores.csv",Sorts comma-separated file numerically by 2nd field.,-n (numeric sort)\n-r (reverse result)\n-k keydef (sort key position)\n-t char (field separator)\n-u (unique outputs),"uniq, awk, rank",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
24,uniq,Text Processing,Report or omit repeated lines,Filters matching adjacent lines from input file or standard input.,uniq [OPTION]... [INPUT [OUTPUT]],"sort access.log | cut -d"" "" -f1 | uniq -c | sort -nr",Counts unique IP addresses from access log and sorts by frequency.,-c (count occurrences)\n-d (only print duplicate lines)\n-u (only print unique lines)\n-i (ignore case),"sort, awk",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
25,wc,Text Processing,"Print newline, word, and byte counts","Counts lines, words, characters, and byte counts of files.",wc [OPTION]... [FILE]...,wc -l src/**/*.js,Counts total line numbers across all JavaScript files in src directory.,-l (count lines)\n-w (count words)\n-c (count bytes)\n-m (count characters),"cat, du, cloc",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
26,tr,Text Processing,Translate or delete characters,"Translates, squeezes, or deletes characters from standard input.",tr [OPTION]... SET1 [SET2],cat input.txt | tr 'a-z' 'A-Z',Converts all lowercase letters to uppercase.,-d (delete characters in SET1)\n-s (squeeze repeated characters)\n-c (complement SET1),"sed, awk, cut",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
27,find,File Search,Search for files in a directory hierarchy,"Searches directory trees for files matching criteria like name, size, type, modification date, and permissions.",find [path...] [expression],"find /var/log -name ""*.log"" -mtime -7 -size +10M",Finds log files in /var/log modified within 7 days larger than 10MB.,-name pattern (file pattern)\n-type f/d (file or dir)\n-mtime days (modified days ago)\n-size spec (file size)\n-exec cmd {} + (execute command on match),"locate, grep, fd, whereis",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
28,locate,File Search,Find files by name using indexed database,Searches pre-indexed file database for fast file name lookup.,locate [OPTION]... PATTERN...,locate -i nginx.conf,Quickly finds all path locations containing nginx.conf ignoring case.,-i (ignore case)\n-c (count matches)\n-r (use regular expression)\n-l limit (limit number of results),"find, updatedb, whereis",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
29,grep,File Search,Search text matching a pattern in files,Searches input files for lines containing matches to a specified regular expression.,grep [OPTIONS] PATTERN [FILE...],"grep -rnI --exclude-dir=node_modules ""API_KEY"" .",Recursively searches current dir for string API_KEY excluding node_modules and binary files.,-r / -R (recursive search)\n-n (print line number)\n-i (ignore case)\n-v (invert match)\n-E (extended regex)\n-c (count matching lines),"ack, ripgrep, sed, awk, find",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
30,ripgrep,File Search,Recursively search directories for regex pattern fast,Ultra-fast line-oriented search tool that respects gitignore and skips binary files automatically.,rg [OPTIONS] PATTERN [PATH...],"rg -t py ""class DataPipeline""",Searches Python files for class definition using multithreading.,-t type (filter file type)\n-i (case insensitive)\n-C num (context lines)\n-w (word boundary match),"grep, fd, ack",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
31,fd,File Search,"Simple, fast and user-friendly alternative to find","Fast file search command line utility with intuitive syntax, colored output, and smart case search.",fd [FLAGS/OPTIONS] [pattern] [path],fd -e md -x wc -l,Finds all markdown files and executes word line count on each.,-e ext (file extension)\n-H (include hidden files)\n-x cmd (execute command on matches)\n-t type (filter by file/dir),"find, locate, rg",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
32,which,File Search,Locate executable command path,Returns the pathnames of executable files that would be executed in the current shell environment.,which [options] [--] programname ...,which python3,Prints absolute path of default python3 interpreter.,-a (print all matching path entries in PATH),"whereis, type, command",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
33,whereis,File Search,"Locate the binary, source, and manual page files for a command",Locates documentation and binary locations for specified utility names.,whereis [options] name...,whereis bash,"Prints locations of bash binary, source code, and man pages.",-b (search only binaries)\n-m (search only manual pages)\n-s (search only sources),"which, locate, type",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
34,man,Command Discovery,Format and display online manual pages,"System interface to reference documentation pages for commands, system calls, and library functions.",man [SECTION] PAGE...,man 5 fstab,Opens section 5 manual page explaining /etc/fstab file format.,-k keyword (search keywords like apropos)\n-f command (whatis lookup)\n-P pager (specify custom pager),"info, tldr, whatis, apropos",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
35,tldr,Command Discovery,Simplified and community-driven man pages,"Provides practical, simple example-driven command summaries.",tldr command,tldr tar,Displays most common practical examples for tar archiver command.,-u (update local cache)\n-p platform (specify os linux/osx),"man, info, help",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
36,info,Command Discovery,Read Info documents,GNU hyper-text document reader for comprehensive GNU software manuals.,info [OPTION]... [MENU-ITEM...],"info coreutils ""tar invocation""",Opens GNU Info documentation directly to tar invocation section.,-n node (select specific node)\n--subnodes (output subnodes recursively),"man, tldr, help",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
37,alias,Shell,Create shortcuts for commands,Defines custom command aliases or lists currently set aliases.,alias [name[=value] ...],alias ll='ls -la --color=auto',Creates an alias shortcut named ll for detailed colorized file listing.,-p (print all defined aliases in reusable format),"unalias, bash, zsh",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
38,unalias,Shell,Remove command alias,Deletes specified command alias definitions from active shell session.,unalias [-a] name...,unalias ll,Removes the custom ll command shortcut.,-a (remove all defined aliases),"alias, bash",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
39,echo,Shell,Display a line of text,Prints arguments to standard output.,echo [SHORT-OPTION]... [STRING]...,"echo ""PATH is $PATH""",Evaluates and prints environment variable PATH string.,-e (enable interpretation of backslash escapes)\n-n (do not output trailing newline),"printf, env, printenv",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
40,printf,Shell,Format and print data,Formats and prints arguments under control of string format specifier.,printf FORMAT [ARGUMENT]...,"printf ""User: %-10s ID: %d\n"" ""alice"" 1001",Formats tabular user record with left alignment.,"Supports standard C printf conversion specifiers (%s, %d, %f, %x)","echo, awk",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
41,clear,Shell,Clear the terminal screen,Clears terminal screen and scrollback buffer.,clear [options],clear,Wipes current shell terminal viewport.,-x (do not clear scrollback buffer),"reset, tput",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
42,history,Shell,Display or manage shell execution history list,Displays command history list with line numbers or writes history file.,history [n] / history -c,"history | grep ""docker run""",Searches recent shell history for past docker commands.,-c (clear history list)\n-d offset (delete position entry)\n-w (write history to file),"fc, bash, zsh",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
43,export,Shell,Set environment variables for child processes,Marks environment variables to be exported to child processes created by current shell.,export [-fn] [name[=value] ...] or export -p,export DB_PORT=5432,Sets DB_PORT variable and exports it to subsequent commands.,-p (display all exported variables)\n-n (remove export property from name),"env, set, unset, printenv",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
44,unset,Shell,Unset values and attributes of variables and functions,Removes variables or functions from shell runtime environment.,unset [-f] [-v] [name ...],unset DB_PASSWORD,Clears DB_PASSWORD variable from memory.,-v (treat names as variables)\n-f (treat names as functions),"export, env, set",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
45,env,Environment,Run a program in a modified environment or list variables,Prints current environment variables or executes program in customized environment.,env [OPTION]... [NAME=VALUE]... [COMMAND [ARG]...],env -i PATH=/usr/bin node app.js,Runs Node application in an isolated blank environment containing only PATH.,-i (start with empty environment)\n-u name (unset variable from environment),"printenv, export, set",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
46,printenv,Environment,Print all or part of environment,Displays values of specified environment variables or all active environment variables.,printenv [OPTION]... [VARIABLE]...,printenv USER HOME SHELL,"Prints values of USER, HOME, and SHELL variables.",-0 (end each output line with null byte),"env, export, echo",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
47,ps,Processes,Report current process snapshot,Outputs detailed state information about currently running processes.,ps [options],ps aux | grep java,Lists all processes running on system filtering for Java processes.,a (show processes for all users)\nu (user-oriented format)\nx (show processes without controlling terminal)\n-ef (standard full listing),"top, htop, pgrep, pstree",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
48,top,Processes,Display Linux dynamic real-time processes,"Interactive real-time task manager monitoring CPU, memory utilization, and running processes.",top - [d delay] [n iterations] [p pid],top -u postgres,Monitors processes belonging strictly to user postgres.,-u user (monitor specific user)\n-p pid (monitor single PID)\n-d delay (update interval seconds)\n-b (batch mode for logging),"htop, atop, ps, vmstat",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
49,htop,Processes,Interactive process viewer and manager,"Modern colorized interactive process viewer with mouse support, tree views, and quick signal sending.",htop [options],htop,Launches interactive process manager UI.,-d delay (update delay in tenths of seconds)\n-u user (filter by user name)\n-t (show tree view),"top, ps, glances",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
50,kill,Processes,Send a signal to a process,Terminates or sends specified inter-process control signals to process IDs.,kill [-SIGNAL | -s SIGNAL] PID...,kill -9 12345,Sends SIGKILL (signal 9) to forcefully terminate process 12345.,-9 / -TERM / -KILL (signal selection)\n-l (list signal names),"pkill, killall, xargs",caution,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
51,pkill,Processes,Signal processes based on name and attributes,Sends signals to processes matching process name regex patterns.,pkill [options] pattern,"pkill -f ""node server.js""","Terminates node processes matching command string ""node server.js"".",-f (match full command line pattern)\n-u user (match user)\n-9 (force kill),"kill, killall, pgrep",caution,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
52,killall,Processes,Kill processes by exact command name,Terminates all running processes executing the specified command name.,killall [options] name...,killall -g nginx,Kills process group associated with Nginx.,-i (ask for confirmation)\n-q (quiet execution)\n-u user (kill processes owned by user),"kill, pkill, ps",caution,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
53,nice,Processes,Run a program with modified scheduling priority,Executes program with modified process priority niceness value (-20 highest to 19 lowest).,nice [OPTION] [COMMAND [ARG]...],nice -n 10 tar -czf backup.tar.gz /data,Runs CPU-intensive tar backup with lower priority (nice 10).,-n adjustment (niceness increment value from -20 to 19),"renice, ps, top",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
54,renice,Processes,Alter priority of running processes,Changes scheduling priority of already running active processes.,renice [-n] priority [-p|--pid] pid...,renice -n -5 -p 4321,Increases scheduling priority of PID 4321.,-p (treat args as process IDs)\n-u (treat args as user names)\n-g (treat args as process group IDs),"nice, ps, top",caution,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
55,nohup,Processes,Run command immune to hangups,"Executes command oblivious to hangup signals (SIGHUP), allowing it to continue running after terminal exit.",nohup COMMAND [ARG]...,nohup python3 script.py > output.log 2>&1 &,Runs Python script in background continuously surviving SSH disconnection.,--help (display help manual),"disown, tmux, screen, bg",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
56,pgrep,Processes,Look up processes based on name and attributes,Searches active processes and returns matching process IDs.,pgrep [options] pattern,pgrep -l -u root sshd,Lists PIDs and names of root SSH daemon processes.,-l (list process name alongside PID)\n-a (list full command line)\n-u user (filter user),"ps, pkill, pidof",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
57,df,File Systems,Report file system disk space usage,Displays total available and used disk space capacity on mounted filesystems.,df [OPTION]... [FILE]...,df -hT /,Displays root filesystem storage capacity in human readable format with filesystem types.,-h (human readable output in MB/GB)\n-T (print filesystem type)\n-i (list inode usage instead of block usage),"du, lsblk, fdisk",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
58,du,File Systems,Estimate file space usage,Calculates disk space consumed by directories and files recursively.,du [OPTION]... [FILE]...,du -sh /var/log/*,Prints total summary disk usage of each directory inside /var/log.,-s (display total summary only)\n-h (human readable output format)\n-a (write counts for all files)\n-c (produce grand total),"df, ncdu, ls",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
59,lsblk,Storage,List block devices,"Displays structured tree details about all block storage devices (hard drives, NVMe, partitions).",lsblk [options] [device],lsblk -f,Outputs disk partition tree along with filesystem labels and UUIDs.,-f (output filesystem info and UUIDs)\n-a (list empty devices)\n-m (print permissions and owners),"fdisk, blkid, df",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
60,fdisk,Storage,Manipulate disk partition table,"Interactive command-line tool for viewing, creating, resizing, and deleting partition tables on disks.",fdisk [options] device,fdisk -l /dev/sda,Lists partition table structure of storage drive /dev/sda.,-l (list partition tables for specified devices)\n-s partition (display size in sectors),"parted, lsblk, mkfs",dangerous,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
61,mount,Storage,Mount a filesystem,Attaches storage filesystem of a disk partition or remote share to directory tree.,mount [-l] [-t type] device dir,mount -t ext4 /dev/sdb1 /mnt/data,Mounts ext4 partition /dev/sdb1 to /mnt/data directory.,"-t type (filesystem type)\n-o options (read-only, loop, defaults, noatime)\n-a (mount all filesystems in fstab)","umount, fstab, lsblk",caution,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
62,umount,Storage,Unmount file systems,Detaches mounted filesystem from target mount point.,umount [OPTION]... DIRECTORY|DEVICE,umount -l /mnt/data,"Lazy unmounts /mnt/data, detaching filesystem immediately once busy locks release.",-f (force unmount in case of unreachable NFS)\n-l (lazy unmount detach now),"mount, fuser, lsof",caution,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
63,dd,Storage,Convert and copy a file,"Low-level bitstream data copier used for disk cloning, backup creation, and zero-filling storage media.",dd operand...,dd if=ubuntu.iso of=/dev/sdb status=progress bs=4M conv=fdatasync,Writes ISO image directly to USB drive /dev/sdb displaying real-time progress.,if=file (input source)\nof=file (output target)\nbs=bytes (block size buffer)\nstatus=progress (display transfer progress),"cp, cat, pv",dangerous,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
64,sync,Storage,Synchronize cached writes to persistent storage,Flushes buffered file data and filesystem metadata from RAM cache to physical storage disks.,sync [OPTION] [FILE]...,sync,Ensures all pending write operations are safely committed to disk before shutdown or unmounting.,-f (sync filesystem containing file)\n-d (sync file data only),"umount, shutdown",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
65,ping,Networking,Send ICMP ECHO_REQUEST to network hosts,Tests network connectivity and latency to remote hosts using ICMP packets.,ping [options] destination,ping -c 4 google.com,Sends 4 ICMP echo request packets to google.com to measure round-trip latency.,-c count (stop after sending N packets)\n-i interval (wait seconds between packets)\n-W timeout (time to wait for response),"traceroute, netstat, mtr",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
66,curl,Networking,Transfer data to or from a server via HTTP/HTTPS/FTP,"Command line client for requesting web endpoints, downloading files, testing REST APIs, and uploading data.",curl [options] [URL...],"curl -X POST -H ""Content-Type: application/json"" -d '{""key"":""val""}' https://api.example.com/v1",Sends HTTP POST request with JSON payload to remote REST API endpoint.,-X method (HTTP method GET/POST/PUT/DELETE)\n-H header (custom request header)\n-d data (post body data)\n-i (include response HTTP headers)\n-o file (write output to file)\n-u user:pass (authentication),"wget, httpie, nc",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
67,wget,Networking,Non-interactive network downloader,"Retrieves files over HTTP, HTTPS, and FTP supporting background execution, recursive crawling, and retries.",wget [option]... [URL]...,wget -c --mirror --convert-links https://docs.example.com/,Recursively mirrors documentation website for offline browsing with resume support.,-c (continue partially downloaded file)\n-b (go to background after startup)\n-q (quiet mode)\n-O file (save to specified filename),"curl, axel, rsync",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
68,netstat,Networking,"Print network connections, routing tables, and interface statistics","Displays open network ports, active TCP/UDP sockets, routing tables, and interface statistics.",netstat [options],netstat -tuln,Displays all active listening TCP and UDP ports in numeric address format.,-t (TCP ports)\n-u (UDP ports)\n-l (listening sockets only)\n-n (show numeric IP addresses and ports)\n-p (show PID and program name),"ss, lsof, ip, nmap",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
69,ss,Networking,Utility to investigate sockets,"Modern, faster alternative to netstat for inspecting socket statistics and network sockets.",ss [options] [FILTER],ss -tulpn,Lists all listening TCP/UDP network ports with associated process IDs.,-t (TCP sockets)\n-u (UDP sockets)\n-l (listening sockets)\n-p (show process using socket)\n-n (do not resolve service names),"netstat, lsof, ip",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
70,ip,Networking,"Show / manipulate routing, network devices, interfaces and tunnels","Comprehensive utility replacing ifconfig, route, and arp for configuring network interfaces.",ip [ OPTIONS ] OBJECT { COMMAND | help },ip addr show dev eth0,Displays IP configuration and MAC address details for eth0 network interface.,addr (manage IP addresses)\nlink (manage network devices)\nroute (manage routing table)\nneigh (manage ARP neighbor cache),"ifconfig, route, arp",caution,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
71,dig,Networking,DNS lookup utility,Performs DNS lookups and outputs answers returned from queried name servers.,dig [OPTION] [name] [type] [CLASS],dig +short MX github.com,Fetches mail exchange (MX) DNS records for github.com in concise format.,+short (concise answer format)\n-x ip (reverse DNS lookup)\nANY / A / AAAA / CNAME / TXT (record types),"nslookup, host, drill",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
72,nslookup,Networking,Query Internet name servers interactively,Queries DNS servers to map hostname to IP addresses or perform reverse lookups.,nslookup [-option] [host-to-find] [server],nslookup 8.8.8.8,Performs reverse DNS query for IP 8.8.8.8.,-type=TYPE (DNS query type)\nport=PORT (custom server port),"dig, host",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
